	BH90_04.00_170222	BP06_16.00_11_03_22	BP07_8.00_16_2_22	BP34_06.00_170222	BP34_08.00_170222	BP46_08.00_10_03_22	BP46_16.00_10_03_22	BP47_14.00_10_03_22	BP48_12.00_10_03_22	BP48_14.00_10_03_22	BP59_08.00_11_03_22	BP59_14.00_11_03_22	BP59_16.00	BP59_18.00_11_03_22	BP59_20.00_11_03_22	BP59_22.00_11_03_22	BP60_22.00_10_03_22	BP60_26.00_10_03_22	BP76_18.00_10_03_22	BP76_22.00_10_03_22	BP76_26.00_10_03_22	BP77_16.00_10_03_22	BP77_22.00_10_03_22	BP91_10.00_16_2_22	BP91_20.00_16_2_22	BP91_28.00_16_2_22	MWB05I_18_03_22	MWBO7I_18_03_22	MWD04D_16_2_22	MWD04I_16_2_22	MWD04S_16_2_22	MWD16_D_170222	MWD16_I_170222	MWD16_S_170222	MWF13D_11_03_22	MWF13I_11_03_22	MWF13S_11_03_22	MWF14D_18_03_22	MWF14I_18_03_22	MWF14S_18_03_22	QW016_D_170222	QW016_I_170222	WG269_D_170222	WG269_I_170222	BP49-06.00-10/03/22	QW016D-17/2/22	MWD16D-17/2/22	BP90-4.00-17/2/22	QW016I-17/2/22	WG269D-17/2/22	MWB07I-18/03/22	MWF13S-11/03/22	MWD16S-17/2/22	WG269I-17/2/22	MWD16I-17/2/22
"""1,1,2,2-tetrachloroethane"""	77.9	0.005	0.1	0.05	0.037	0.044	0.281	0.464	2.81	2.44	0.001	0.005	0.628	0.828	3.13	0.005	2.56	0.158	0.087	0.897	2.69	0.05	0.059	0.056	0.02	1	1.97	0.017	0.1	0.001	0.05	0.034	0.02	0.009	0.705	0.737	0.001	1.77	0.28	0.002	0.046	0.028	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""1,1,1-trichloroethane"""	0.964	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""1,1,2-trichloroethane"""	2.46	0.141	0.1	1.04	0.048	0.071	0.288	0.757	3.46	4.29	0.001	0.016	1.92	1.63	4.33	0.005	4.31	0.622	0.087	1.74	2.19	0.321	0.506	0.852	0.116	1.04	0.471	0.006	0.1	0.003	0.194	0.013	0.02	0.005	1	1.01	0.001	1.98	0.623	0.006	0.021	0.097	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""1,2,3-trichloropropane"""	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""1,2-dibromo-3-chloropropane"""	0.1	0.011	0.1	0.05	0.027	0.02	0.02	0.02	0.096	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.04	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""1,2-dibromoethane"""	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""1,1-dichloroethane"""	3.13	0.057	0.1	0.099	0.005	0.037	0.025	0.026	0.082	0.108	0.018	0.076	0.311	0.157	0.267	0.022	0.33	0.084	0.243	0.343	0.2	0.325	0.35	0.02	0.056	1	0.022	0.024	0.1	0.016	0.365	0.006	0.02	0.005	0.088	0.086	0.127	0.158	0.174	0.006	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""1,2-dichloroethane"""	16.6	8.69	95.3	0.22	0.008	2.77	0.38	0.314	0.855	0.997	0.056	1.29	273	30.3	172	4.21	182	82.1	0.267	7.8	260	0.293	0.606	34.3	44.7	2350	0.996	0.03	135	1.41	61	0.03	0.02	0.008	40.9	45	0.002	36.4	5.06	0.022	0.145	0.032	1140	802	0	0	0	0	0	0	0	0	0	0	0
"""1,1-dichloroethene"""	0.776	0.071	0.1	0.082	0.005	0.034	0.05	0.022	0.102	0.128	0.001	0.104	0.631	0.21	0.384	0.013	0.58	0.133	0.933	1.28	0.274	0.494	0.625	0.062	0.038	1	0.032	0.015	0.1	0.002	0.05	0.005	0.02	0.008	0.092	0.09	0.001	0.324	0.263	0.022	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""cis-1,2-dichloroethene"""	22	1.99	1.67	0.505	1.02	12.4	8.94	2.45	3.67	3.92	0.03	0.088	1.91	1.39	1.36	1.31	1.72	7.85	7.53	6.7	5.05	3.06	3.56	0.035	0.045	1	4.78	0.508	0.177	0.048	0.273	4.98	11.1	8.26	1.9	1.88	0.002	2.61	9.32	0.276	3.08	15.8	0.575	0.345	0	0	0	0	0	0	0	0	0	0	0
"""trans-1,2-dichloroethene"""	1.54	0.029	0.1	0.065	0.005	0.079	0.188	0.062	0.11	0.146	0.027	0.005	0.2	0.078	0.124	0.082	0.157	0.716	0.256	0.253	0.446	0.208	0.212	0.02	0.02	1	0.157	0.011	0.1	0.005	0.063	0.106	0.239	0.226	0.04	0.039	0.001	0.124	0.114	0.006	0.03	0.21	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
16s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TceA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VcrA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""1,3-dichloropropane"""	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""1,1-dichloropropene"""	0.1	0.025	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.007	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
"""cis-1,4-Dichloro-2-butene"""	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
